"identifiant";"prenom";"nom";"region";"departement";"numero_circonscription";"profession";"groupe_politique_complet";"groupe_politique_abrege"
"794322";"Thomas";"Ménagé";"Centre-Val de Loire";"Loiret";"4";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"795950";"David";"Amiel";"Ile-de-France";"Paris";"13";"Economiste";"Ensemble pour la République";"EPR"
"841495";"Maxime";"Amblard";"Grand Est";"Meuse";"1";"(38) - Ingénieur et cadre technique d'entreprise";"Rassemblement National";"RN"
"840657";"Sophie";"Vaginay";"Provence-Alpes-Céte d'Azur";"Alpes-de-Haute-Provence";"2";"(37) - Cadre administratif et commercial d'entreprise";"UDR";"UDR"
"795430";"Stéphane";"Delautrette";"Nouvelle-Aquitaine";"Haute-Vienne";"2";"Ingénieur dans le domaine de l'environnement";"Socialistes et apparentés";"SOC"
"722252";"Marie-Pierre";"Rixain";"Ile-de-France";"Essonne";"4";"Consultante en communication";"Ensemble pour la République";"EPR"
"606507";"Florent";"Boudié";"Nouvelle-Aquitaine";"Gironde";"10";"Cadre supérieur du secteur public";"Ensemble pour la République";"EPR"
"793382";"Emmanuel";"Taché de la Pagerie";"Provence-Alpes-Céte d'Azur";"Bouches-du-Rhéne";"16";"Cadre de la fonction publique";"Rassemblement National";"RN"
"2960";"éric";"Woerth";"Hauts-de-France";"Oise";"4";"Associé dans un cabinet d'audit international";"Ensemble pour la République";"EPR"
"840713";"Sophie";"Delorme";"Auvergne-Rhéne-Alpes";"Ain";"3";"Pharmacien Titulaire";"Ensemble pour la République";"EPR"
"841207";"Charles";"Alloncle";"Occitanie";"Hérault";"9";"(37) - Cadre administratif et commercial d'entreprise";"UDR";"UDR"
"795124";"Didier";"Padey";"Auvergne-Rhéne-Alpes";"Savoie";"1";"cadre commercial";"Les Démocrates";"Dem"
"841395";"Maxime";"Michelet";"Grand Est";"Marne";"3";"Historien";"UDR";"UDR"
"793940";"Thomas";"Cazenave";"Nouvelle-Aquitaine";"Gironde";"1";"Cadre de la fonction publique";"Ensemble pour la République";"EPR"
